弓矢	や	/(n) (1) arrow/(2) wedge/chock/(P)/
実践	じっせん	/(n,vs) (1) practice/putting into practice/implementation/(n) (2) praxis (philosophy)/(P)/
虚偽	こぎ	/(ok) (n,adj-no) (1) falsehood/untruth/lie/misinformation/(n) (2) fallacy (logic)/
真実	しんじつ	/(adj-na,adv,n,adj-no) truth/reality/(P)/
喜び	よろこび	/(n) joy/delight/rapture/pleasure/gratification/rejoicing/congratulations/felicitations/(P)/
憂い	うれい	/(n) (1) sorrow/grief/anguish/distress/(2) trouble/affliction/anxiety/fear/misgivings/(P)/
喜劇	きげき	/(n,adj-no) comedy/funny show/(P)/
悲劇	ひげき	/(n) (1) tragedy/tragic drama/tragic play/(2) tragedy/calamity/disaster/(P)/
傑作	けっさく	/(adj-na,n) (1) masterpiece/best work/(2) amusing blunder/funny mistake/boner/(P)/
駄作	ださく	/(n) poor piece of work/rubbish/trash/
酷評	こくひょう	/(n,vs,adj-no) severe criticism/damnation/(P)/
絶賛	ぜっさん	/(n,vs) high praise/great admiration/rave reviews/
劣等感	れっとうかん	/(n) inferiority complex/(P)/
優越感	ゆうえつかん	/(n) superiority complex/sense of superiority/(P)/
酸性	さんせい	/(n) (1) (chem) acidity/(adj-no) (2) (chem) acidic/(P)/
陰性	いんせい	/(adj-na,n,adj-no) negative/(P)/
陽性	ようせい	/(n,adj-no) positivity/(P)/
慢性	まんせい	/(n,adj-no) chronicity/chronic/(P)/
急性	きゅうせい	/(n,adj-no) acute (e.g. illness)/(P)/
紫外線	しがいせん	/(n) ultra-violet rays/(P)/
赤外線	せきがいせん	/(n) infrared rays/(P)/
清音	せいおん	/(n) (ling) unvoiced consonant (except p) in Japanese/
濁音	だくおん	/(n) (ling) voiced consonant in Japanese/
唯一無二	ゆいつむに	/(adj-na,n,adj-no) (yoji) one and only/unique/
無色透明	むしょくとうめい	/(n,adj-na,adj-no) (yoji) colorless and transparent/
喜怒哀楽	きどあいらく	/(n) (yoji) human emotions (joy, anger, pathos, and humor) (humour)/(P)/
危機一髪	ききいっぱつ	/(exp,n) (yoji) by a hair's breadth/in the nick of time/touch and go/close call/critical moment/
錯誤	さくご	/(n) (1) mistake/error/discrepancy/(2) (law) discrepancy between one's actions and intentions/(P)/
喪失	そうしつ	/(n,vs) loss/forfeit/(P)/
油断大敵	ゆだんたいてき	/(exp) (yoji) Unpreparedness is one's greatest enemy/He that is too secure is not safe/
霧中	むちゅう	/(n) in the fog/
