Date,Price
20110621,80.212
20110622,80.12
20110623,80.278
20110624,80.59
20110625,80.38
20110626,80.5
20110627,80.43
20110628,80.949
20110629,81.219
20110630,80.83
20110701,80.65
20110702,80.85
20110703,80.82
20110704,80.83
20110705,80.811
20110706,81.102
20110707,80.926
20110708,81.217
20110709,80.66
20110710,80.62
20110711,80.64
20110712,80.304
20110713,79.488
20110714,79.014
20110715,79.044
20110716,79.032
20110717,79.13
20110718,79.12
20110719,79.071
20110720,78.94
20110721,78.754
20110722,78.562
20110723,78.47
20110724,78.49
20110725,78.53
20110726,78.26
20110727,77.97
20110728,78.07
20110729,77.81
20110730,77.137
20110731,76.9
20110801,76.76
20110802,77.202
20110803,77.079
20110804,76.9
20110805,78.822
20110806,78.552
20110807,78.4
20110808,78.4
20110809,77.72
20110810,77.062
20110811,76.757
20110812,76.866
20110813,76.74
20110814,76.82
20110815,76.69
20110816,76.8
20110817,76.675
20110818,76.47
20110819,76.8565
20110820,76.471
20110821,76.55
20110822,76.55
20110823,76.744
20110824,76.61
20110825,77.037
20110826,77.63
20110827,76.712
20110829,76.689
20110830,76.937
20110831,76.72
20110901,76.521
20110902,76.815
20110903,76.72
20110904,76.8
20110905,76.79
20110906,76.89
20110907,77.54
20110908,77.33
20110909,77.572
20110910,77.4
20110913,77.268
20110914,76.86
20110915,76.66
20110916,76.672
20110917,76.88
20110920,76.5
20110921,76.427
20110922,76.31
20110923,76.433
20110924,76.476
20110927,76.44
20110928,76.633
20110929,76.449
20110930,76.674
20111001,77.07
20111002,77.14
20111003,77.07
20111004,76.71
20111005,76.836
20111006,76.83
20111007,76.67
20111008,76.786
20111009,76.72
20111011,76.689
20111012,76.71
20111013,77.359
20111014,76.864
20111015,77.33
20111018,76.78
20111019,76.83
20111020,76.78
20111021,76.84
20111022,76.21
20111025,76.11
20111026,75.94
20111027,76.04
20111028,75.82
20111029,75.746
20111030,75.8
20111031,75.8
20111101,77.971
20111102,78.33
20111103,78.091
20111104,77.97
20111105,78.26
20111106,78.26
20111107,78.239
20111108,78.068
20111109,77.778
20111110,77.77
20111111,77.6
20111112,77.14
20111115,77.02
20111116,77.014
20111117,77.03
20111118,76.98
20111119,76.944
20111121,76.91
20111122,76.96
20111123,77.07
20111124,77.413
20111125,77.11
20111126,77.669
20111128,77.75
20111129,78.089
20111130,77.85
20111201,77.55
20111202,77.589
20111203,77.9
20111204,77.987
20111205,78
20111206,77.78
20111207,77.75
20111208,77.71
20111209,77.676
20111210,77.603
20111211,77.54
20111212,77.54
20111213,77.844
20111214,77.9
20111215,78.081
20111216,77.889
20111217,77.66
20111218,77.76
20111219,77.76
20111220,77.97
20111221,77.8
20111222,78.02
20111223,78.14
20111224,78.14
20111227,77.94
20111228,77.83
20111229,77.964
20111230,77.734
20111231,76.97
20120101,76.97
20120102,76.97
20120103,76.91
20120104,76.667
20120105,76.71
20120106,77.15
20120107,77.062
20120108,77.07
20120110,76.86
20120111,76.867
20120112,76.912
20120113,76.741
20120114,76.9
20120115,76.91
20120116,76.91
20120117,76.782
20120118,76.798
20120119,76.818
20120120,77.31
20120121,76.996
20120123,76.95
20120124,76.921
20120125,77.77
20120126,78.17
20120127,77.459
20120128,76.699
20120129,76.68
20120130,76.68
20120131,76.344
20120201,76.34
20120202,76.136
20120203,76.16
20120204,76.54
20120205,76.61
20120207,76.6
20120208,76.887
20120209,76.93
20120210,77.47
20120211,77.58
20120213,77.63
20120214,77.52
20120215,78.412
20120216,78.22
20120217,78.83
20120218,79.36
20120219,79.55
20120220,79.53
20120221,79.507
20120222,79.739
20120223,80.294
20120224,80.203
20120225,80.898
20120226,81.21
20120228,80.428
20120229,80.45
20120301,81.17
20120302,81.18
20120303,81.583
20120304,81.79
20120305,81.81
20120306,81.428
20120307,80.731
20120308,81.06
20120309,81.512
20120310,82.528
20120311,82.48
20120312,82.47
20120313,82.244
20120314,82.68
20120315,83.658
20120316,83.31
20120317,83.35
20120318,83.45
20120319,83.45
20120320,83.43
20120321,83.56
20120322,83.73
20120323,82.493
20120324,82.43
20120325,82.35
20120326,82.35
20120327,82.819
20120328,83.13
20120329,82.77
20120330,82.377
20120331,82.6
20120401,82.87
20120402,82.82
20120403,82.17
20120404,82.11
20120405,82.566
20120406,82.35
20120407,81.57
20120408,81.64
20120409,81.65
20120410,81.66
20120411,80.814
20120412,81.034
20120413,80.83
20120414,80.99
20120415,80.93
20120416,80.93
20120417,80.44
20120418,80.76
20120419,81.281
20120420,81.52
20120421,81.574
20120425,81.21
20120426,81.43
20120427,80.9
20120428,80.45
20120429,80.27
20120430,80.27
20120501,79.837
20120502,80.26
20120503,80.17
20120504,80.309
20120505,79.858
20120506,79.85
20120507,79.85
20120508,79.932
20120509,79.8
20120510,79.75
20120511,79.919
20120512,79.908
20120513,79.93
20120514,79.94
20120515,79.86
20120516,80.309
20120517,80.312
20120518,79.35
20120519,79.14
20120520,79.02
20120521,79.02
20120522,79.334
20120523,79.97
20120524,79.41
20120525,79.584
20120526,79.63
20120527,79.67
20120528,79.68
20120529,79.482
20120530,79.51
20120531,79.021
20120601,78.377
20120602,78.175
20120603,78.05
20120604,78
